Rank,Company,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters,symbol,price,marketCap,beta,lastDividend,range,change,changePercentage,volume,averageVolume,ceo,state
11,Microsoft,Technology and cloud computing,245122,15.7,228000,"Redmond, Washington",MSFT,522.77,3885836387950.0,1.023,3.32,344.79-555.45,2.23,0.4284,5620930,20304070.0,Satya Nadella,WA
12,Cardinal Health,Healthcare,226827,10.6,48411,"Dublin, Ohio",CAH,159.83,38166886470.0,0.718,2.0326,106.98-168.44,0.31,0.19433,419234,2347335.0,Jason M. Hollar,OH
13,Bank of America,Financials,184992,11.9,213193,"Charlotte, North Carolina",BAC,51.61,382272689500.0,1.334,1.06,33.07-52.88,0.51,0.99804,11208169,34441000.0,Brian Thomas Moynihan,NC
14,General Motors,Automotive industry,187442,9.1,162000,"Detroit, Michigan",GM,67.27,63502847105.0,1.336391,0.54,41.6-68.4799,-0.04,-0.05942653,5479288,8196906.0,Mary T. Barra,MI
15,Elevance Health,Healthcare,177011,3.3,103679,"Indianapolis, Indiana",ELV,344.43,76545778770.0,0.59,6.76,273.71-458.75,-0.78,-0.22595,1323305,2195782.0,Gail Koziara Boudreaux,IN
16,Citigroup,Financials,170757,8.9,227855,"New York City, New York",C,96.88,178346392000.0,1.357,2.28,55.51-105.59,0.58,0.60228,3269722,14150437.0,Jane Nind Fraser,NY
17,Meta Platforms,Technology,164501,21.9,74067,"Menlo Park, California",META,738.32,1854803844148.0,1.203,2.075,479.8-796.25,4.91,0.66948,4220388,11923643.0,Mark Elliot Zuckerberg,CA
18,Centene,Healthcare,163071,5.9,60500,"St. Louis, Missouri",CNC,33.575,16489790475.0,0.476,0.0,25.08-70.11,-2.445,-6.7879,9509194,14435792.0,Sarah M. London,MO
19,Walgreens Boots Alliance,Pharmaceutical industry,147658,6.2,252500,"Deerfield, Illinois",WBA,11.98,10369421068.0,0.768,0.25,8.08-13.25,0.06,0.50336,452081061,16940296.0,Timothy C. Wentworth,IL
20,Kroger,Retail,147123,-1.9,409000,"Cincinnati, Ohio",KR,68.505,45396756390.0,0.566,1.31,55.6-74.9,-0.1,-0.14576,1835321,7045748.0,David John Christopher Kennerley,OH
21,Phillips 66,Petroleum industry,145496,-2.9,13200,"Houston, Texas",PSX,135.215,54643662492.0,1.094,4.7,91.01-142.35,3.815,2.90335,1171432,2400100.0,Mark E. Lashier,TX
22,Marathon Petroleum,Petroleum industry,140412,-6.6,18300,"Findlay, Ohio",MPC,195.9925,59585700412.0,0.883,3.64,115.1-201.61,7.4525,3.95274,891778,1774856.0,Maryann T. Mannen,OH
23,Verizon Communications,Telecommunications,134788,0.6,99600,"New York City, New York",VZ,38.64,162918790581.0,0.366,2.7225,37.59-47.36,-1.16,-2.91457,23941629,20072329.0,Hans E. Vestberg,NY
24,Nvidia,Technology,130497,114.2,36000,"Santa Clara, California",NVDA,181.755,4425188985000.0,2.123,0.04,86.62-195.62,1.475,0.81817,62101888,173464512.0,Jen-Hsun Huang,CA
25,Goldman Sachs,Financials,126853,17.0,46500,"New York City, New York",GS,751.62,227531158020.0,1.415,13.0,439.38-825.25,7.02,0.94279,570063,1881481.0,David Solomon,NY
26,Wells Fargo,Financials,125397,8.7,217502,"San Francisco, California",WFC,84.48,270626611200.0,1.24,1.8,58.42-87.47,0.6,0.71531,5441698,14615006.0,Charles W. Scharf,CA
27,Valero Energy,Petroleum industry,123974,-10.8,9910,"San Antonio, Texas",VLO,171.44,53258134991.0,1.026,4.46,99-178.43,9.57,5.91215,2392189,2684707.0,R. Lane Riggs,TX
28,Comcast,Telecommunications,123731,1.8,182000,"Philadelphia, Pennsylvania",CCZ,59.0,55886807003.0,0.05139386,1.7914,53.14-68.405,-3.54,-5.66038,6,15.0,None,PA
29,AT&T,Conglomerate and telecommunications,122336,-0.1,140990,"Dallas, Texas",T,24.575,175720834250.0,0.624,1.11,21.38-29.79,-0.975,-3.81605,53498118,35685989.0,John T. Stankey,TX
30,Humana,Health insurance,117761,10.7,65680,"Louisville, Kentucky",HUM,287.42,34568555246.0,0.425,3.54,206.87-315.35,-0.3,-0.10427,299567,1943175.0,James A. Rechtin,KY
31,Morgan Stanley,Financials,107285,11.5,80478,"New York City, New York",MS,159.025,253857968500.0,1.324,3.775,94.33-166.77,0.905,0.57235,1193306,5287360.0,Edward N. Pick,NY
32,StoneX Group,Financials,99888,64.1,4500,"New York City, New York",SNEX,98.94,5161165029.0,0.516,0.0,56.12667-106.98,-1.34,-1.33626,85740,520593.0,Philip Andrew Smith,NY
33,Tesla,Automotive and energy,97690,0.9,125665,"Austin, Texas",TSLA,440.35,1420286991534.0,2.086,0.0,214.25-488.54,1.38,0.31437,71118229,88273664.0,Elon R. Musk,TX
34,Dell Technologies,Technology,95567,8.1,108000,"Round Rock, Texas",DELL,155.25,104384285888.0,1.126,2.02,66.25-166.1,5.12,3.41038,2608353,6736109.0,Michael Saul Dell,TX
35,PepsiCo,Beverage,91854,0.4,319000,"Purchase, New York",PEP,151.36,206967001729.0,0.458,5.555,127.6-174,-1.67,-1.09129,1418683,8692063.7,Ramon Luis Laguarta,NY
36,United Parcel Service,Transportation,91070,0.1,372180,"Atlanta, Georgia",UPS,86.99,73735052722.0,1.078,6.55,82-145.01,-0.09,-0.10335,2625170,8464329.0,Carol B. Tome,GA
37,Johnson & Johnson,Pharmaceutical industry,88821,-6.7,138100,"New Brunswick, New Jersey",JNJ,191.95,462280646480.0,0.392,5.08,140.68-194.48,-0.985,-0.51053,2425245,8487948.0,Joaquin Duato,NJ
38,FedEx,Transportation,87693,-2.7,422100,"Memphis, Tennessee",FDX,237.175,55962736463.0,1.288,5.66,194.3-308.53,-2.235,-0.93354,438494,1980298.0,Rajesh Subramaniam,TN
39,Procter & Gamble,Consumer products manufacturing,84039,2.5,108000,"Cincinnati, Ohio",PG,151.905,355785328704.0,0.364,3.1201,146.97-180.43,-0.295,-0.19382,3514084,7503964.0,Jon R. Moeller,OH
40,Lowe's,Retail,83674,-3.1,215500,"Mooresville, North Carolina",LOW,241.76,135583713133.0,0.88,5.85,206.39-280.64,-1.77,-0.72681,696718,2812400.0,Marvin R. Ellison,NC
41,Albertsons,Retail,79238,2.0,196650,"Boise, Idaho",ACI,19.505,10716540223.0,0.344,0.57,16.7-23.2,-0.055,-0.28119,1862981,6545426.0,Susan D. Morris,ID
42,Sysco,Food service,78844,3.3,76000,"Houston, Texas",SYY,78.22,38182534275.0,0.836,2.1,67.12-83.47,-0.38,-0.48346,1441761,2999920.0,Kevin P. Hourican,TX
43,American Express,Financial,74201,10.1,75100,"New York City, New York",AXP,354.62,247435917761.0,1.294,3.16,220.43-357.73,2.62,0.74432,754897,2580743.0,Stephen Joseph Squeri,NY
44,MetLife,Financials,70986,6.1,45000,"New York City, New York",MET,78.27,52051589247.0,0.849,2.225,65.21-89.05,-0.29,-0.36914,549736,3360982.0,Michel Abbas Khalaf,NY
45,HCA Healthcare,Healthcare,70603,8.7,271000,"Nashville, Tennessee",HCA,446.085,104380990448.0,1.407,2.82,289.98-446.57,4.895,1.1095,730071,1299950.0,Samuel N. Hazen,TN
46,Prudential Financial,Financials,70405,30.4,37936,"Newark, New Jersey",PRU,101.78,35826692416.0,1.021,5.35,90.38-130.55,-0.31,-0.30365,280591,1606675.0,Andrew Francis Sullivan,NJ
47,Boeing,Aerospace and defense,66517,-14.5,172000,"Arlington County, Virginia",BA,218.88,165507796282.0,1.47,0.0,128.88-242.69,2.29,1.0573,2627255,7312578.0,Robert K. Ortberg,VA
48,Caterpillar,Machinery,64809,-3.4,112900,"Irving, Texas",CAT,517.305,242346489263.0,1.465,5.84,267.3-544.99,3.395,0.66062,846646,3007806.0,Joseph E. Creed CPA,IL
49,Allstate,Insurance,64106,12.3,55200,"Northfield Township, Cook County, Illinois",ALL,195.05,51396715397.0,0.377,3.92,176-215.7,0.26,0.13348,357893,1426560.0,Thomas Joseph Wilson II,IL
50,Pfizer,Pharmaceutical industry,63627,8.8,81000,"New York City, New York",PFIZER.NS,5297.5,242348424858.0,0.113,35.0,3701-5993,-54.0,-1.00906,22331,38647.0,Meenakshi Nevatia,
51,IBM,Technology and cloud computing,62753,1.4,284500,"Armonk, New York",IBM,284.73,265231473775.0,0.724,6.7,203.51-301.04,-2.78,-0.96692,11266809,5316170.0,Arvind Krishna,NY
52,Delta Air Lines,Airline,61643,6.2,103000,"Atlanta, Georgia",DAL,59.317,38731792509.0,1.503,0.75,34.74-69.98,-0.683,-1.13833,3961000,8185534.0,Edward H. Bastian,GA
53,TD Synnex,Information Technology,58452,1.6,25750,"Clearwater, Florida",SNX,154.11,12788964446.0,1.329,1.76,92.23-167.76,2.95,1.95157,164901,687179.0,Patrick Zammit,CA
54,United Airlines,Airline,57063,6.2,107300,"Chicago, Illinois",UAL,96.065,31099889913.0,1.457,0.0,52-116,-0.205,-0.21294,3879866,5753775.0,J. Scott Kirby,IL
55,ConocoPhillips,Petroleum industry,56953,-2.8,11800,"Houston, Texas",COP,90.535,113072992126.0,0.635,3.12,79.88-115.38,3.125,3.57511,3380866,6534821.0,Ryan M. Lance,TX
56,TJX,Retail,56360,4.0,364000,"Framingham, Massachusetts",TJX,142.81,158948080390.0,0.921,1.6,111.73-146.46,-0.25,-0.17475,1130728,4969503.0,Ernie L. Herrman,MA
57,AbbVie,Pharmaceutical industry,56334,3.7,55000,"Lake Bluff, Illinois",ABBV,228.87,404312187364.0,0.507,6.56,163.81-244.81,0.19,0.08308553,2259003,5412442.0,Robert A. Michael CPA,IL
58,Enterprise Products,Petroleum industry,56219,13.1,7800,"Houston, Texas",EPD,30.9599,67035844187.0,0.645,2.14,27.77-34.63,-0.0801,-0.25805,1778616,4082709.0,A. James Teague,TX
59,Charter Communications,Telecommunications,55085,0.9,94500,"Stamford, Connecticut",CHTR,244.855,33444985387.0,1.051,0.0,243.62-437.06,-0.085,-0.03470238,880665,2184896.0,Christopher L. Winfrey,CT
60,Performance Food Group,Food processing,54681,2.5,36815,"Richmond, Virginia",PFGC,101.235,15834192266.0,1.089,0.0,68.395-109.05,-0.175,-0.17257,95109,1513401.0,George L. Holm,VA
61,American Airlines,Airline,54211,2.7,133300,"Fort Worth, Texas",AAL,12.7001,8379892010.0,1.366,0.0,8.5-19.1,0.6101,5.04632,56111222,74009365.0,Robert D. Isom Jr.,TX
62,Capital One Financial,Financials,53938,9.0,52600,"Richmond, Virginia",COF,220.8,141205353600.0,1.182,2.4,143.22-232.45,0.42,0.19058,1775761,3624818.0,Richard D. Fairbank,VA
63,Cisco,Telecom hardware manufacturing,53803,-5.6,90400,"San Jose, California",CSCO,70.7531,279700939335.0,0.966,1.63,52.11-72.55,0.0931,0.13176,6188721,19347368.0,Charles H. Robbins,CA
64,HP,Technology,53559,-0.3,58000,"Palo Alto, California",HPQ,28.025,26195019374.0,1.3,1.1576,21.21-39.8,0.365,1.3196,5090256,9939864.0,Enrique J. Lores,CA
65,Tyson Foods,Food processing,53309,0.8,138000,"Springdale, Arkansas",TSN,51.71,18344173848.0,0.56,2.0,51.07-65.95,-1.01,-1.91578,839010,2713643.0,Donnie D. King,AR
66,Intel,Technology,53101,-2.1,108900,"Santa Clara, California",INTC,37.55,164351968103.0,1.33,0.125,17.67-39.65,0.63,1.70639,37409153,126040262.0,Lip-Bu Tan,CA
67,Broadcom,Technology,52432,46.4,37000,"Palo Alto, California",AVGO,344.735,1619646371947.0,1.208,2.36,138.1-374.23,4.435,1.30326,5112007,22777687.0,Hock E. Tan,CA
68,Plains All American Pipeline,Petroleum industry,50073,2.8,4200,"Houston, Texas",PAA,16.725,11762766960.0,0.712,1.4575,15.58-21,0.215,1.30224,2931064,2892554.0,Wilfred C.W. Chiang,TX
69,Bristol-Myers Squibb,Pharmaceutical industry,48300,7.3,34100,"New York City, New York",BMY,43.915,89386164826.0,0.344,2.48,42.96-63.33,-0.475,-1.07006,5438971,13903093.0,Christopher S. Boerner,NY
70,Ingram Micro,Technology,47984,-0.1,26125,"Irvine, California",INGM,21.51,5051494311.0,2.3125541,0.31,14.25-25.69,0.13,0.60804,127463,323332.0,Paul D. Bay,CA
